epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30539,1.11947,1.86243,1.19279,0.62749,0.66241,0.66501,0.46963,0.88681,1.61507,1.10987,0.00995899,0.00995899,0.00995899
43,31267.4,1.11576,1.85834,1.19411,0.63155,0.6627,0.66637,0.47061,0.88681,1.6067,1.10956,0.00995697,0.00995697,0.00995697
44,31991.5,1.11437,1.85202,1.193,0.63345,0.66751,0.66812,0.4708,0.88632,1.60237,1.109,0.0099549,0.0099549,0.0099549
45,32721.4,1.11414,1.86417,1.19574,0.63175,0.67045,0.66899,0.47131,0.88608,1.59688,1.10893,0.00995278,0.00995278,0.00995278
46,33439.8,1.11303,1.84665,1.18992,0.63031,0.67079,0.67125,0.47296,0.88614,1.58963,1.10884,0.00995062,0.00995062,0.00995062
47,34163.6,1.11559,1.84827,1.19172,0.62513,0.66982,0.67271,0.47425,0.88597,1.58291,1.10879,0.0099484,0.0099484,0.0099484
48,34884,1.10656,1.83154,1.18621,0.62398,0.67211,0.67424,0.47619,0.88584,1.57944,1.10858,0.00994614,0.00994614,0.00994614
49,35600.2,1.11024,1.85043,1.18921,0.62428,0.6746,0.67583,0.47713,0.88628,1.57563,1.10859,0.00994383,0.00994383,0.00994383
50,36333.4,1.10601,1.83484,1.18802,0.63487,0.67001,0.67643,0.47732,0.88616,1.57077,1.10839,0.00994147,0.00994147,0.00994147
51,37050.7,1.10997,1.83938,1.19014,0.63427,0.67236,0.67699,0.47837,0.88588,1.56777,1.10813,0.00993906,0.00993906,0.00993906
52,37778.1,1.10374,1.82671,1.1876,0.63345,0.67593,0.67952,0.47887,0.88593,1.56488,1.10802,0.0099366,0.0099366,0.0099366
53,38499.5,1.10775,1.83122,1.18822,0.6333,0.67476,0.68087,0.48105,0.88538,1.55868,1.10763,0.0099341,0.0099341,0.0099341
54,39217.4,1.10727,1.83254,1.18923,0.6404,0.67186,0.68174,0.48095,0.88529,1.55473,1.10767,0.00993154,0.00993154,0.00993154
55,39953,1.10235,1.81659,1.18629,0.63957,0.67441,0.68408,0.48248,0.88518,1.55126,1.10759,0.00992894,0.00992894,0.00992894
56,40677.6,1.10638,1.82488,1.18668,0.64567,0.67059,0.68519,0.4833,0.88465,1.54627,1.10735,0.00992629,0.00992629,0.00992629
57,41406.8,1.09869,1.81353,1.18428,0.64572,0.67241,0.68602,0.48364,0.88454,1.54186,1.10698,0.00992359,0.00992359,0.00992359
